ID;Область;Роль;Функция;Пользовательская история;Ожидаемое поведение по коду;Источник в коде;Статус функции;Статус теста;Ошибки/риски;Статус исправления;Статус повторной проверки
RL-US-060;Предложения меню;Пользователь;Предложить новое блюдо;Как участник я хочу предложить блюдо администратору;SuggestDishForm отправляет название, описание, цену, картинку и groupId в /api/suggestions;frontend/src/components/menu/SuggestDishForm.tsx frontend/src/hooks/useSuggestions.ts frontend/src/services/suggestion.service.ts backend/src/services/menu-suggestion.service.ts backend/src/api/routes/menu-suggestion.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: frontend suggestion.service.test.ts + useSuggestions.test.tsx, backend menu-suggestion.service.test.ts
RL-US-061;Предложения меню;Пользователь;Мои предложения;Как пользователь я хочу видеть свои предложения и их статусы;MySuggestionsPage фильтрует по статусу, ищет по названию и ведет на создание нового предложения через меню;frontend/src/pages/MySuggestionsPage.tsx frontend/src/hooks/useSuggestions.ts frontend/src/services/suggestion.service.ts;Исправлено;Пройдено;Список предложений не добавлял текущую группу в запрос и мог смешивать предложения разных групп пользователя;useSuggestions теперь всегда добавляет currentGroupId в запросы предложений;Пройдено: SuggestionsFlow.test.tsx + useSuggestions.test.tsx + suggestion.service.test.ts
RL-US-062;Предложения меню;Администратор;Модерация предложений;Как администратор я хочу одобрять, отклонять и удалять предложения;SuggestionsPage/SuggestionsPanel показывают вкладки статусов, счетчики, approve/reject/delete через /api/suggestions;frontend/src/pages/SuggestionsPage.tsx frontend/src/components/menu/SuggestionsPanel.tsx frontend/src/hooks/useSuggestions.ts frontend/src/services/suggestion.service.ts backend/src/services/menu-suggestion.service.ts backend/src/api/routes/menu-suggestion.routes.ts backend/src/api/controllers/menu-suggestion.controller.ts;Исправлено;Пройдено;Счетчики были глобальными, удаление не передавало groupId, а серверная модерация не сверяла группу предложения с выбранной группой;Статистика, счетчик, список, approve/reject/delete стали group-scoped, сервер запрещает модерацию предложения из другой группы;Пройдено: SuggestionsFlow.test.tsx + useSuggestions.test.tsx + suggestion.service.test.ts + backend menu-suggestion.service.test.ts + backend build
RL-US-063;Магазинный забег;Пользователь;Список активных забегов;Как пользователь я хочу видеть кто сейчас идет в магазин;ActiveStoreRunsSection загружает /api/store-runs/active и показывает карточки забегов;frontend/src/components/store-run/ActiveStoreRunsSection.tsx frontend/src/components/store-run/StoreRunCard.tsx frontend/src/services/store-run.service.ts backend/src/services/store-run.service.ts backend/src/api/routes/store-run.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: StoreRunFlow.test.tsx + store-run.service.test.ts + backend store-run.service.test.ts
RL-US-064;Магазинный забег;Инициатор;Создание магазинного забега;Как пользователь я хочу объявить что иду в магазин;CreateStoreRunSheet выбирает группу, название магазина и длительность сбора, вызывает POST /api/store-runs и открывает страницу забега;frontend/src/components/store-run/CreateStoreRunSheet.tsx frontend/src/services/store-run.service.ts backend/src/services/store-run.service.ts backend/src/api/routes/store-run.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: StoreRunFlow.test.tsx + store-run.service.test.ts + backend store-run.service.test.ts
RL-US-065;Магазинный забег;Участник;Добавление позиций в забег;Как участник я хочу добавить что мне купить;ParticipantView добавляет одно или несколько StoreItem через POST /api/store-runs/:id/items пока идет сбор;frontend/src/components/store-run/ParticipantView.tsx frontend/src/services/store-run.service.ts backend/src/services/store-run.service.ts backend/src/api/routes/store-run.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: StoreRunFlow.test.tsx + store-run.service.test.ts + backend store-run.service.test.ts
RL-US-066;Магазинный забег;Участник;Удаление своей позиции;Как участник я хочу удалить ошибочную позицию до начала закупки;ParticipantView вызывает DELETE /api/store-runs/:id/items/:itemId;frontend/src/components/store-run/ParticipantView.tsx frontend/src/services/store-run.service.ts backend/src/services/store-run.service.ts backend/src/api/routes/store-run.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: StoreRunFlow.test.tsx + store-run.service.test.ts + backend store-run.service.test.ts
RL-US-067;Магазинный забег;Инициатор;Начать закупку;Как инициатор я хочу закрыть сбор и перейти к покупке;InitiatorView вызывает POST /api/store-runs/:id/start-shopping, после чего позиции становятся редактируемыми по цене и статусу;frontend/src/components/store-run/InitiatorView.tsx frontend/src/services/store-run.service.ts backend/src/services/store-run.service.ts backend/src/api/routes/store-run.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: StoreRunFlow.test.tsx + store-run.service.test.ts + backend store-run.service.test.ts
RL-US-068;Магазинный забег;Инициатор;Отметить купленную позицию с ценой;Как инициатор я хочу отметить что купил позицию и сколько она стоила;ItemRow проверяет цену и вызывает POST /api/store-runs/:id/items/:itemId/price со статусом BOUGHT;frontend/src/components/store-run/InitiatorView.tsx frontend/src/services/store-run.service.ts backend/src/services/store-run.service.ts backend/src/api/routes/store-run.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: StoreRunFlow.test.tsx + store-run.service.test.ts + backend store-run.service.test.ts
RL-US-069;Магазинный забег;Инициатор;Отметить что позиция не найдена;Как инициатор я хочу отметить отсутствующий товар;ItemRow вызывает тот же price endpoint со статусом NOT_FOUND и без цены;frontend/src/components/store-run/InitiatorView.tsx frontend/src/services/store-run.service.ts backend/src/services/store-run.service.ts backend/src/api/routes/store-run.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: StoreRunFlow.test.tsx + store-run.service.test.ts + backend store-run.service.test.ts
RL-US-070;Магазинный забег;Инициатор;Расчет забега;Как инициатор я хочу завершить закупку и создать долги;InitiatorView вызывает POST /api/store-runs/:id/settle, сервер создает транзакции по купленным позициям и уведомления;frontend/src/components/store-run/InitiatorView.tsx frontend/src/services/store-run.service.ts backend/src/api/routes/store-run.routes.ts backend/src/services/store-run.service.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: StoreRunFlow.test.tsx + store-run.service.test.ts + backend store-run.service.test.ts
RL-US-071;Магазинный забег;Инициатор;Отмена забега;Как инициатор я хочу отменить сбор до закупки;InitiatorView вызывает POST /api/store-runs/:id/cancel, сервер переводит забег в CANCELLED и чистит сообщения где возможно;frontend/src/components/store-run/InitiatorView.tsx frontend/src/services/store-run.service.ts backend/src/api/routes/store-run.routes.ts backend/src/services/store-run.service.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: StoreRunFlow.test.tsx + store-run.service.test.ts + backend store-run.service.test.ts
RL-US-072;Бюджет;Пользователь;Компактный виджет бюджета;Как пользователь я хочу быстро видеть есть ли долги или поступления;BudgetWidget/useBudgetWidget загружает долги и кредиты, показывает компактную карточку и модальное окно;frontend/src/components/budget/BudgetWidget.tsx frontend/src/hooks/useBudgetWidget.ts frontend/src/services/budget.service.ts;Исправлено;Пройдено;Бюджетный хук и service писали служебные console-сообщения при обычной загрузке;Убран debug-вывод из useBudgetWidget и budgetService без изменения fallback-поведения;Пройдено: BudgetFlow.test.tsx + budget.service.test.ts + npm run type-check
RL-US-073;Бюджет;Должник;Отметить долг оплаченным;Как должник я хочу отметить что перевел деньги;UrgentDebtView/OverviewView вызывает POST /api/budget/mark-paid, сервер разрешает действие только fromUserId;frontend/src/components/budget/UrgentDebtView.tsx frontend/src/components/budget/OverviewView.tsx backend/src/api/routes/budget.routes.ts backend/src/services/budget.service.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: BudgetFlow.test.tsx + budget.service.test.ts + backend budget.service.test.ts
RL-US-074;Бюджет;Должник;Открыть оплату через СБП;Как должник я хочу открыть платеж по телефону ответственного;budgetService.openSBP формирует безопасную ссылку qr.nspk.ru и открывает через Telegram WebApp или новое окно;frontend/src/services/budget.service.ts frontend/src/components/budget/UrgentDebtView.tsx;Исправлено;Пройдено;СБП-ссылка передавала сумму в рублях, например 350.25 вместо 35025 копеек;openSBP переводит сумму в копейки, проверяет положительное значение и собирает ссылку через URLSearchParams;Повторная проверка пройдена: budget.service.test.ts
RL-US-075;Бюджет;Должник;Отменить отметку оплаты;Как должник я хочу отменить ошибочную отметку оплаты;WaitingConfirmationView вызывает POST /api/budget/cancel-mark, сервер проверяет fromUserId;frontend/src/components/budget/WaitingConfirmationView.tsx backend/src/api/routes/budget.routes.ts backend/src/services/budget.service.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: BudgetFlow.test.tsx + backend budget.service.test.ts
RL-US-076;Бюджет;Ответственный;Подтвердить платеж;Как ответственный я хочу подтвердить полученный перевод;ResponsibleView вызывает POST /api/budget/confirm-payment, сервер разрешает действие только toUserId;frontend/src/components/budget/ResponsibleView.tsx backend/src/api/routes/budget.routes.ts backend/src/services/budget.service.ts;Исправлено;Пройдено;В ResponsibleView была нерабочая кнопка Все оплатили и рядом с подтверждением была кнопка-крестик без действия;Добавлен Mini App API POST /api/budget/mark-all-paid, кнопка Все оплатили стала рабочей, нерабочий крестик удален, кнопка подтверждения получила понятное имя;Пройдено: BudgetFlow.test.tsx + budget.service.test.ts + backend budget.service.test.ts + backend build
RL-US-077;Бюджет;Ответственный;Напомнить всем должникам;Как ответственный я хочу разослать напоминания по заказу;ResponsibleView вызывает POST /api/budget/send-reminders-all и показывает сколько отправлено/не отправлено;frontend/src/components/budget/ResponsibleView.tsx backend/src/api/routes/budget.routes.ts backend/src/services/budget.service.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: BudgetFlow.test.tsx + budget.service.test.ts + backend budget.service.test.ts
RL-US-078;Бюджет;Ответственный;Напомнить одному должнику;Как ответственный я хочу отправить напоминание конкретному должнику;OverviewView вызывает POST /api/budget/send-reminder для конкретной транзакции;frontend/src/components/budget/OverviewView.tsx backend/src/api/routes/budget.routes.ts backend/src/services/budget.service.ts;Исправлено;Пройдено;Если долгов нет, но есть поступления, обзор открывался на пустой вкладке Я должен, а иконка напоминания не имела доступного имени;OverviewView автоматически открывает вкладку Мне должны при наличии только поступлений, кнопка напоминания получила aria-label;Пройдено: BudgetFlow.test.tsx + backend budget.service.test.ts
RL-US-079;Бюджет;Ответственный;Ввести доставку, сервис и чаевые по заказу;Как ответственный я хочу добавить общие расходы и перерасчитать долги;CostEntryForm валидировала неотрицательные суммы и вызывала POST /api/budget/order-costs/:pollId — маршрут удалён (переписывал долги от имени последнего проголосовавшего), запись расходов идёт через PUT /api/category-orders/:id/costs;frontend/src/components/budget/CostEntryForm.tsx backend/src/api/routes/budget.routes.ts backend/src/services/budget.service.ts;Исправлено;Пройдено;Дополнительные расходы делились только между должниками, без доли ответственного;setOrderCosts удалён вместе с маршрутом — деление доставки, сервиса и чаевых на всех участников заказа делает CategoryOrderService.updateCosts, где ответственный проверяется по самой категории;Пройдено: unit category-order.service.test.ts + category-order.controller.test.ts + category-order-authorization.test.ts (прежние проверки через BudgetFlow.test.tsx и budget.service.test.ts относились к удалённому маршруту)
RL-US-080;Бюджет;Пользователь;Разбивка стоимости заказа;Как участник я хочу увидеть из чего сложилась сумма;CostBreakdownView загружает /api/budget/poll-breakdown/:pollId и показывает таблицу item/delivery/service/tip/status;frontend/src/components/budget/CostBreakdownView.tsx backend/src/api/routes/budget.routes.ts backend/src/services/budget.service.ts;Исправлено;Пройдено;У старых транзакций без itemPrice разбивка могла показывать стоимость блюда как 0;getPollCostBreakdown берет цену из itemPrice, затем из menuItem.price, затем из amount минус доли расходов;Пройдено: BudgetFlow.test.tsx + backend budget.service.test.ts
RL-US-081;Категорийный заказ;Ответственный за категорию;Калькулятор категорий;Как ответственный за категорию я хочу ввести позиции участников, допрасходы и финализировать расчет;CategoryOrderCalculator загружает участников и order-items, автосохраняет позиции, обновляет costs и вызывает finalize;frontend/src/components/budget/CategoryOrderCalculator.tsx frontend/src/components/budget/OrderItemForm.tsx frontend/src/hooks/useOrderCalculation.ts backend/src/api/routes/category-order.routes.ts backend/src/services/order-calculation.service.ts backend/src/services/category-order.service.ts;Исправлено;Пройдено;Финализация могла стартовать до сохранения свежих допрасходов, а сервер принимал пустые позиции, нулевые цены и отрицательные costs;Перед finalize калькулятор сохраняет текущие расходы через updateCostsAsync, поля позиции получили доступные имена, backend валидирует itemName, price и non-negative costs;Пройдено: CategoryOrderFlow.test.tsx + category-order.service.test.ts + order-calculation.service.test.ts + backend build + frontend type-check
RL-US-082;Категорийный заказ;Участник;Стать ответственным за категорию;Как участник я хочу добровольно взять категорию;BudgetWidgetWithCalculator вызывает POST /api/category-orders/:id/volunteer;frontend/src/components/budget/BudgetWidgetWithCalculator.tsx frontend/src/services/category-order.service.ts backend/src/api/routes/category-order.routes.ts backend/src/services/multi-category-responsible.service.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: CategoryOrderFlow.test.tsx + category-order.service.test.ts
RL-US-083;Категорийный заказ;Администратор;История правок позиции;Как администратор я хочу видеть кто менял позицию в расчете;categoryOrderService.getEditHistory читает /api/order-items/:id/edit-history с adminMiddleware;frontend/src/services/category-order.service.ts backend/src/api/routes/category-order.routes.ts;Непроверяемый без UI;Исключено из текущего Mini App цикла;Backend route и frontend service существуют, но экран или компонент истории правок в Mini App не найден;Не меняем без пользовательского UI-потребителя;Проверено поиском по коду: getEditHistory используется только в category-order.service.ts
RL-US-084;Профиль;Пользователь;Просмотр профиля;Как пользователь я хочу видеть свои данные, статистику и переходы;ProfilePage показывает Telegram-данные, краткую статистику, историю, предложения, админ-доступ при правах;frontend/src/pages/ProfilePage.tsx;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-085;Профиль;Пользователь;Платежные данные;Как пользователь я хочу сохранить карту/телефон/описание для возвратов;ProfilePage загружает /api/user/payment-info и сохраняет PUT /api/user/payment-info;frontend/src/pages/ProfilePage.tsx frontend/src/services/user.service.ts backend/src/api/routes/user.routes.ts;Исправлено;Пройдено;Автосохранение могло потерять изменения при уходе с поля, невалидные данные теряли явный статус, поля не были связаны с label;blur сохраняет валидные данные сразу, невалидные остаются несохраненными, label/id добавлены;Пройдено
RL-US-086;Профиль;Пользователь;Форма обратной связи;Как пользователь я хочу отправить отзыв или проблему;FeedbackModal вызывает POST /api/feedback с типом и текстом;frontend/src/components/modals/FeedbackModal.tsx frontend/src/services/feedback.service.ts backend/src/api/routes/feedback.routes.ts;Исправлено;Пройдено;FeedbackModal писал служебные данные в console, textarea не была связана с label;console-вызовы удалены, textarea связана с label, backend anti-spoof проверен unit-тестом;Пройдено
RL-US-087;Профиль;Пользователь;Поддержать проект Stars;Как пользователь я хочу отправить поддержку через Telegram Stars;DonationModal выбирает сумму, вызывает /api/donations/stars, открывает invoice и показывает результат;frontend/src/components/donation/DonationModal.tsx frontend/src/services/donation.service.ts backend/src/api/routes/donation.routes.ts backend/src/bot/handlers/payments.handlers.ts;Исправлено;Пройдено;Закрытие модалки было без доступного имени, способ оплаты был карточкой-div вместо кнопки;кнопка закрытия получила aria-label, способ оплаты стал настоящей кнопкой, Stars-валидация backend покрыта тестом;Пройдено
RL-US-088;Статистика;Пользователь;Личная статистика;Как пользователь я хочу видеть свою активность и прогресс;StatsPage вкладка personal показывает Lunch DNA и компактный бюджетный блок без отладочного вывода данных API;frontend/src/pages/StatsPage.tsx frontend/src/services/lunch-dna.service.ts backend/src/api/routes/gamification.routes.ts;Проверено;Пройдено;Служебный вывод StatsPage мог печатать данные API в консоль;Удален console.log и добавлена повторная проверка вкладок;Проверено: targeted stats tests type-check full frontend tests frontend build
RL-US-089;Статистика;Группа;Статистика группы;Как участник я хочу видеть показатели текущей группы;StatsPage вкладка group переключается из Mini App и показывает групповые показатели и лидерборд для текущей группы;frontend/src/pages/StatsPage.tsx backend/src/api/routes/poll.routes.ts backend/src/api/routes/menu.routes.ts;Проверено;Пройдено;Риск регрессии переключения вкладок покрыт userEvent тестом;Не требуется;Проверено: StatsPage tab test full frontend tests
RL-US-090;Статистика;Пользователь;Общая статистика и рейтинг;Как пользователь я хочу сравнить себя с другими;Leaderboard читает /api/gamification/leaderboard с category limit groupId и показывает имя XP уровень и ранг;frontend/src/pages/StatsPage.tsx frontend/src/components/stats/Leaderboard.tsx frontend/src/services/gamification.service.ts backend/src/api/routes/gamification.routes.ts;Исправлено;Пройдено;Лидерборд был статической заглушкой и не использовал backend API;Добавлен gamificationService и API-загрузка в Leaderboard;Проверено: statistics service test StatsWidgets test full frontend tests frontend build
RL-US-091;Статистика;Пользователь;Инсайты бюджета и категорий;Как пользователь я хочу получить подсказки по тратам и категориям;BudgetInsightsWidget читает /api/insights/budget и /api/insights/categories и показывает средний чек экономию и любимую категорию;frontend/src/pages/StatsPage.tsx frontend/src/components/stats/BudgetInsightsWidget.tsx frontend/src/services/insights.service.ts backend/src/api/routes/insights.routes.ts;Исправлено;Пройдено;Блок бюджета был статической заглушкой и не использовал готовые analytics endpoints;Добавлен insightsApiService и API-загрузка в BudgetInsightsWidget;Проверено: statistics service test StatsWidgets test full frontend tests frontend build
RL-US-092;Статистика;Пользователь;Страница статистики конкретного пользователя;Как пользователь или администратор я хочу открыть подробную статистику участника;UserStatsPage загружает данные пользователя поддерживает Telegram BackButton и не пишет payload API в консоль;frontend/src/pages/UserStatsPage.tsx backend/src/api/routes/poll.routes.ts;Исправлено;Пройдено;UserStatsPage печатала пользовательскую статистику и ошибки в консоль;Удален console.log и console.error для payload статистики добавлен тест страницы;Проверено: UserStatsPage test full frontend tests frontend build
RL-US-093;Админка;Администратор;Панель администратора;Как администратор я хочу управлять пользователями, долгами, очисткой и настройками;AdminDashboardPage проверяет группы, загружает users/debtors/debt-stats/cleanup/settings и показывает вкладки;frontend/src/pages/AdminDashboardPage.tsx frontend/src/services/admin.service.ts backend/src/api/routes/admin.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-094;Админка;Администратор;Управление пользователями;Как администратор я хочу менять права, активность и участие в опросах;UserManagementCard вызывает toggleAdmin, toggleActive, toggleParticipatesInPolls;frontend/src/components/admin/UserManagementCard.tsx backend/src/api/routes/admin.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-095;Админка;Администратор;Управление долгами;Как администратор я хочу простить долг или напомнить должнику;DebtManagementCard вызывает forgiveDebt, remindDebtor и remindAllDebtors;frontend/src/components/admin/DebtManagementCard.tsx backend/src/api/routes/admin.routes.ts;Исправлено;Пройдено;Строка должника была кликабельным блоком без роли кнопки;Исправлено;Пройдено
RL-US-096;Админка;Администратор;Очистка старых данных;Как администратор я хочу удалить старые голосования или транзакции;DataCleanupCard вызывает DELETE /api/admin/cleanup/old-polls и old-transactions с daysOld;frontend/src/components/admin/DataCleanupCard.tsx backend/src/api/routes/admin.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-097;Админка;Администратор;Настройки напоминаний о долгах;Как администратор я хочу настроить частоту и шаблон напоминаний;ReminderSettingsCard загружает и сохраняет /api/admin/reminder-settings/:groupId;frontend/src/components/admin/ReminderSettingsCard.tsx backend/src/api/routes/admin.routes.ts;Исправлено;Пройдено;Поля настроек не были связаны с подписями и числовые поля плохо редактировались;Исправлено;Пройдено
RL-US-098;Админка;Администратор;Настройки админ-уведомлений;Как администратор я хочу управлять уведомлениями для админов группы;AdminDashboardPage загружает и сохраняет /api/admin/notification-settings/:groupId;frontend/src/pages/AdminDashboardPage.tsx backend/src/api/routes/admin.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-099;Уведомления;Пользователь;Напомнить администратору о запуске голосования;Как участник я хочу попросить админа запустить голосование;HomePage вызывает /api/notifications/remind-admin, сервис учитывает cooldown;frontend/src/pages/HomePage.tsx frontend/src/services/notification.service.ts backend/src/api/routes/notification.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-100;Уведомления;Пользователь;Проверка cooldown напоминания админу;Как пользователь я хочу видеть когда можно снова напомнить;notificationService.getCooldownStatus читает /api/notifications/cooldown/:groupId;frontend/src/services/notification.service.ts backend/src/api/routes/notification.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-101;Главная;Пользователь;Пригласить друга;Как пользователь я хочу поделиться ссылкой на бота;HomePage пробует Telegram shareLink, openTelegramLink, openLink и запасной alert;frontend/src/pages/HomePage.tsx;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-102;Главная;Пользователь;Показать топ-блюдо;Как пользователь я хочу увидеть самое популярное блюдо;HomePage загружает популярные блюда и показывает TopDishModal;frontend/src/pages/HomePage.tsx frontend/src/components/modals/TopDishModal.tsx;Исправлено;Пройдено;Обработчик топ-блюда не был привязан к кнопке в Mini App;Исправлено;Пройдено
RL-US-103;Онбординг;Новый пользователь;Приветственный экран;Как новый пользователь я хочу кратко понять возможности Mini App;WelcomeModal показывает слайды и закрывается через useOnboarding;frontend/src/components/onboarding/WelcomeModal.tsx frontend/src/hooks/useOnboarding.ts;Исправлено;Пройдено;useOnboarding писал служебные сообщения в консоль при обычном запуске;Исправлено;Пройдено
RL-US-104;Внешний вид;Пользователь;Синхронизация темы с Telegram;Как пользователь я хочу чтобы цвета приложения совпадали с темой Telegram;App применяет class dark/light и выставляет header/background/bottomBar color в Telegram WebApp;frontend/src/App.tsx frontend/src/hooks/useTelegram.ts;Исправлено;Пройдено;Layout писал внутреннее состояние в консоль при обычном рендере;Исправлено;Пройдено
RL-US-105;PWA;Пользователь;Индикатор отсутствия сети;Как пользователь я хочу понимать что сеть пропала;OfflineIndicator и useOnlineStatus показывают офлайн-состояние;frontend/src/components/common/OfflineIndicator.tsx frontend/src/hooks/useOnlineStatus.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-106;PWA;Пользователь;Предложение обновить приложение;Как пользователь я хочу обновить устаревшую версию без поломки;PWAUpdatePrompt и versionCheck обрабатывают обновление сервис-воркера и версию;frontend/src/components/common/PWAUpdatePrompt.tsx frontend/src/utils/versionCheck.ts;Исправлено;Пройдено;versionCheck писал служебные сообщения в консоль при проверке и очистке кэша;Исправлено;Пройдено
RL-US-107;PWA;Пользователь;Восстановление после ошибки загрузки чанка;Как пользователь я хочу чтобы приложение само восстановилось после нового деплоя;App ловит Failed to fetch dynamically imported module, один раз очищает service worker и перезагружает страницу;frontend/src/App.tsx frontend/src/utils/chunkRecovery.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-108;Реальное время;Пользователь;Обновления через SSE;Как пользователь я хочу видеть свежие данные без ручного обновления;useSSE подключается к /api/polls/:pollId/stream с токеном и инвалидирует запросы React Query;frontend/src/hooks/useSSE.ts backend/src/api/routes/sse.routes.ts frontend/tests/hooks/useSSE.test.tsx;Исправлено;Пройдено;useSSE писал служебные SSE-события в консоль при подключении и обновлениях;Исправлено в frontend/src/hooks/useSSE.ts;Повторная проверка пройдена: frontend npm test -- --run tests/hooks/useSSE.test.tsx tests/hooks/useUserAvatar.test.tsx, 2 проверки
RL-US-109;Аватары;Пользователь;Загрузка аватаров;Как пользователь я хочу видеть аватары участников;useUserAvatar/useUserAvatarsBatch вызывают /api/user/:userId/avatar и /api/user/avatars/batch, backend отдает подписанные/проксированные аватары;frontend/src/hooks/useUserAvatar.ts backend/src/api/routes/user.routes.ts backend/src/api/routes/avatar.routes.ts frontend/tests/hooks/useUserAvatar.test.tsx;Исправлено;Пройдено;useUserAvatar писал служебные сообщения в консоль при загрузке и работе кэша, а clearAvatarCache очищал только localStorage без памяти текущей вкладки;Исправлено в frontend/src/hooks/useUserAvatar.ts;Повторная проверка пройдена: frontend npm test -- --run tests/hooks/useSSE.test.tsx tests/hooks/useUserAvatar.test.tsx, 2 проверки
RL-US-110;Мониторинг;Администратор;Проверка здоровья сервиса;Как администратор я хочу понимать жив ли сервис;Маршруты /health, /health/ready, /health/live возвращают состояние API и зависимостей;backend/src/api/routes/health.routes.ts backend/src/api/server.ts backend/src/__tests__/unit/routes/monitoring.routes.test.ts;Проверено;Пройдено;Полный backend Jest без отдельной команды был заблокирован недоступной PostgreSQL test-БД, маршрутный unit-тест запущен с отключенным globalSetup;Не требуется;Проверка пройдена: backend npx jest --runInBand src/__tests__/unit/routes/monitoring.routes.test.ts --globalSetup=, 6 проверок
RL-US-111;Мониторинг;Администратор;Метрики приложения;Как администратор я хочу смотреть метрики и поток SSE метрик;Admin-only маршруты /api/metrics, /api/metrics/detailed, /api/metrics/sse отдают Prometheus/детальные данные;backend/src/api/routes/metrics.routes.ts backend/src/__tests__/unit/routes/monitoring.routes.test.ts;Проверено;Пройдено;Полный backend Jest без отдельной команды был заблокирован недоступной PostgreSQL test-БД, маршрутный unit-тест запущен с отключенным globalSetup;Не требуется;Проверка пройдена: backend npx jest --runInBand src/__tests__/unit/routes/monitoring.routes.test.ts --globalSetup=, 6 проверок
RL-US-112;Платежи Telegram;Пользователь;Обработка успешной оплаты Stars;Как пользователь я хочу чтобы успешная поддержка была зафиксирована;payments.handlers слушает pre_checkout_query и successful_payment, подтверждает donation по payload donation;backend/src/bot/handlers/payments.handlers.ts backend/src/services/donation.service.ts backend/src/__tests__/unit/bot/payments.handlers.test.ts backend/src/services/__tests__/donation.service.test.ts;Проверено;Пройдено;Контур связан с Telegram Payments, но это не Telegram-команда: обработчик нужен для Mini App-инвойса Stars;Не требуется;Проверка пройдена: backend npx jest --runInBand src/__tests__/unit/bot/payments.handlers.test.ts src/services/__tests__/donation.service.test.ts --globalSetup= в составе набора RL-US-112..114, 16 проверок
RL-US-113;Планировщик;Система;Автоматические голосования по расписанию;Как группа я хочу чтобы обеды запускались по расписанию;PollSchedulerService стартует с ботом, читает RecurringPoll, создает голосования и умеет отключать расписание по callback recurring:disable;backend/src/services/poll-scheduler.service.ts backend/src/api/routes/recurring-poll.routes.ts backend/src/bot/bot.ts backend/src/__tests__/unit/services/poll-scheduler.service.test.ts;Проверено;Пройдено;Telegram-команды не менялись, проверены только сервис расписания и callback отключения;Не требуется;Проверка пройдена: backend npx jest --runInBand src/__tests__/unit/services/poll-scheduler.service.test.ts --globalSetup= в составе набора RL-US-112..114, 16 проверок
RL-US-114;Планировщик;Система;Автоотмена/автопереход магазинного забега;Как группа я хочу чтобы просроченный магазинный сбор не зависал;store-run-autoclose.job и store-run-expire.service переводят статусы COLLECTING/SHOPPING по условиям времени;backend/src/jobs/store-run-autoclose.job.ts backend/src/services/store-run.service.ts backend/src/__tests__/unit/jobs/store-run-autoclose.job.test.ts backend/src/__tests__/unit/services/store-run-autoclose.service.test.ts backend/src/__tests__/unit/services/store-run-expire.service.test.ts;Проверено;Пройдено;Ошибок приложения не найдено, добавлена проверка cron-джоба поверх уже существующих сервисных проверок;Не требуется;Проверка пройдена: backend npx jest --runInBand src/__tests__/unit/jobs/store-run-autoclose.job.test.ts src/__tests__/unit/services/store-run-autoclose.service.test.ts src/__tests__/unit/services/store-run-expire.service.test.ts --globalSetup= в составе набора RL-US-112..114, 16 проверок
RL-US-115;Основной интерфейс;Разработчик;frontend-new как основной Mini App;Как разработчик я хочу иметь один явно выбранный интерфейс для сборки и выпуска;deploy/update скрипты и сервер по умолчанию используют FRONTEND_DIR=frontend-new, маршруты проверены на React Router 7;update-vps.sh deploy-vps.sh frontend-new/package.json frontend-new/src/App.tsx;Основной контур;Исправлено;Включать frontend-new во все основные проверки Mini App и выпускать по умолчанию;Пройдено;Подтверждено: TypeScript, lint без предупреждений, 298 модульных тестов и полный Playwright-прогон
